#    L    TT             EE             BB             TE          
     2    0.11648E+04    0.51098E-01    0.15995E-05    0.32417E+01
     3    0.10812E+04    0.84871E-01    0.31994E-05    0.41284E+01
     4    0.10048E+04    0.96826E-01    0.53335E-05    0.42866E+01
     5    0.94611E+03    0.87127E-01    0.80023E-05    0.40039E+01
     6    0.90342E+03    0.65219E-01    0.11207E-04    0.35088E+01
     7    0.87356E+03    0.41923E-01    0.14947E-04    0.29468E+01
     8    0.85324E+03    0.24292E-01    0.19226E-04    0.24078E+01
     9    0.84018E+03    0.14279E-01    0.24043E-04    0.19381E+01
    10    0.83282E+03    0.10208E-01    0.29401E-04    0.15643E+01
    11    0.82952E+03    0.91344E-02    0.35300E-04    0.12975E+01
    12    0.83036E+03    0.87299E-02    0.41742E-04    0.11398E+01
    13    0.83351E+03    0.79401E-02    0.48729E-04    0.10703E+01
    14    0.83800E+03    0.68704E-02    0.56263E-04    0.10624E+01
    15    0.84406E+03    0.59570E-02    0.64345E-04    0.10974E+01
    16    0.85205E+03    0.55742E-02    0.72977E-04    0.11595E+01
    17    0.86187E+03    0.57363E-02    0.82161E-04    0.12327E+01
    18    0.87253E+03    0.61662E-02    0.91899E-04    0.13040E+01
    19    0.88487E+03    0.66290E-02    0.10219E-03    0.13665E+01
    20    0.89719E+03    0.70109E-02    0.11304E-03    0.14141E+01
    21    0.90983E+03    0.73742E-02    0.12445E-03    0.14516E+01
    22    0.92306E+03    0.78978E-02    0.13643E-03    0.14848E+01
    23    0.93668E+03    0.86924E-02    0.14896E-03    0.15159E+01
    24    0.95076E+03    0.97983E-02    0.16206E-03    0.15465E+01
    25    0.96524E+03    0.11212E-01    0.17572E-03    0.15797E+01
    26    0.97990E+03    0.12876E-01    0.18996E-03    0.16192E+01
    27    0.99500E+03    0.14732E-01    0.20476E-03    0.16627E+01
    28    0.10104E+04    0.16760E-01    0.22013E-03    0.17081E+01
    29    0.10261E+04    0.18980E-01    0.23607E-03    0.17534E+01
    30    0.10420E+04    0.21419E-01    0.25259E-03    0.17950E+01
    31    0.10581E+04    0.24049E-01    0.26967E-03    0.18298E+01
    32    0.10745E+04    0.26825E-01    0.28733E-03    0.18543E+01
    33    0.10914E+04    0.29742E-01    0.30557E-03    0.18650E+01
    34    0.11084E+04    0.32822E-01    0.32438E-03    0.18606E+01
    35    0.11256E+04    0.36093E-01    0.34377E-03    0.18454E+01
    36    0.11428E+04    0.39590E-01    0.36373E-03    0.18224E+01
    37    0.11602E+04    0.43323E-01    0.38427E-03    0.17872E+01
